Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1948,-.18,-.15,-.21,-.21,-.18,-.15,-.24,-.26,-.27,-.19,-.28,-.09,-.20,-.21,-.18,-.20,-.22,-.25
1949,-.10,-.19,-.09,-.19,-.21,-.34,-.16,-.21,-.20,-.21,-.25,-.23,-.20,-.19,-.13,-.16,-.24,-.22
1950,-.24,-.27,-.22,-.21,-.20,-.06,-.02,-.13,-.16,-.36,-.35,-.32,-.21,-.20,-.24,-.21,-.07,-.29
1951,-.33,-.32,-.23,-.35,-.19,-.12,-.10,-.11,-.22,-.11,-.08,-.06,-.18,-.21,-.32,-.26,-.11,-.14
1952,.07,.06,.06,-.10,-.20,-.22,-.06,.02,-.01,.01,-.05,-.04,-.04,-.04,.02,-.08,-.09,-.02
1953,-.08,-.07,-.03,-.01,-.01,-.02,-.19,-.07,-.09,-.10,-.12,-.12,-.08,-.07,-.06,-.02,-.09,-.10
1954,-.23,-.19,-.13,-.27,-.33,-.34,-.29,-.34,-.29,-.18,-.20,-.27,-.25,-.24,-.18,-.24,-.32,-.22
1955,-.17,-.20,-.22,-.21,-.29,-.19,-.20,-.05,-.22,-.24,-.19,-.29,-.20,-.20,-.21,-.24,-.14,-.21
1956,-.22,-.17,-.19,-.29,-.29,-.13,.00,-.24,-.08,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.01,.02,.12,.25,.19,-.03,.10,.03,-.05,.03,.06,.06,.05,-.02,.13,.09,.00
1958,.09,.14,.02,.02,-.01,-.18,.09,-.19,-.09,.01,.02,-.14,-.02,.00,.10,.01,-.09,-.02
1959,-.07,-.03,.02,.07,.07,-.08,.02,-.09,-.25,-.07,-.17,-.10,-.06,-.06,-.08,.05,-.05,-.16
1960,-.15,-.13,-.27,-.16,-.18,-.26,-.16,-.05,.01,.06,-.12,-.01,-.12,-.13,-.12,-.20,-.16,-.02
1961,-.03,.08,-.02,.09,.19,.05,-.04,-.03,.18,.07,-.01,-.15,.03,.04,.01,.09,-.01,.08
1962,-.16,-.05,-.09,-.10,-.16,.22,-.06,-.07,.06,-.09,-.01,-.15,-.06,-.05,-.12,-.12,.03,-.01
1963,-.14,-.13,-.14,-.19,-.06,.10,.04,.30,.23,-.13,-.13,-.07,-.03,-.03,-.14,-.13,.15,-.01
1964,-.12,-.17,-.11,-.33,-.40,.00,.02,-.19,-.31,-.31,-.23,-.33,-.21,-.18,-.12,-.28,-.06,-.28
1965,-.14,.02,-.16,-.13,-.08,.04,-.10,.10,-.08,-.09,-.16,-.07,-.07,-.09,-.15,-.12,.02,-.11
1966,-.12,-.13,.07,-.05,-.18,-.07,.06,-.29,-.13,-.22,-.04,-.02,-.09,-.10,-.11,-.06,-.10,-.13
1967,.02,-.05,-.14,-.13,.02,-.11,.00,-.08,-.08,-.10,-.12,-.13,-.08,-.07,-.02,-.09,-.06,-.10
1968,-.24,-.14,-.06,-.12,-.21,-.10,-.16,-.08,-.29,.18,.12,.05,-.09,-.10,-.17,-.13,-.12,.00
1969,.22,.13,.22,.32,.26,.14,-.13,.03,.13,.17,.11,.19,.15,.14,.13,.27,.01,.14
1970,.20,.17,.19,.13,-.06,-.06,.06,-.15,.26,.24,.02,.06,.09,.10,.18,.09,-.05,.17
1971,.08,-.11,-.08,.06,.01,-.20,-.03,.13,.01,.06,-.13,-.04,-.02,-.01,.01,.00,-.03,-.02
1972,.11,.17,.04,.12,.09,.19,.08,.40,.30,.20,.25,.39,.19,.16,.08,.08,.22,.25
1973,.42,.21,.26,.36,.36,.21,.21,.08,.25,.26,.18,-.09,.23,.27,.34,.33,.17,.23
1974,.04,-.19,-.14,-.13,.10,.08,.06,.30,.00,.11,.05,.10,.03,.01,-.08,-.06,.15,.05
1975,.03,.06,.14,.02,.32,.06,.04,-.20,.01,-.07,-.05,-.13,.02,.04,.06,.16,-.03,-.03
1976,-.12,-.01,-.13,-.17,-.16,-.05,.06,-.03,-.01,.03,.20,.46,.01,-.04,-.09,-.15,-.01,.07
1977,.52,.34,.22,.28,.42,.31,.32,.33,-.08,.08,.06,.04,.24,.27,.44,.31,.32,.02
1978,-.03,.16,.16,.26,.23,.11,.16,-.12,.12,.06,.11,.14,.11,.10,.05,.22,.05,.10
1979,.22,.15,.20,.47,.06,.20,.03,.29,.30,.28,.33,.41,.24,.22,.17,.24,.17,.30
1980,.38,.38,.52,.45,.44,.22,.30,.27,.30,.15,.38,.34,.35,.35,.39,.47,.27,.28
1981,.24,.21,.27,.26,.30,.30,.53,.52,.15,.01,.12,.28,.27,.27,.26,.28,.45,.09
1982,.23,.14,.01,.13,.26,.11,.25,.15,.22,.27,.46,.47,.22,.21,.22,.13,.17,.32
1983,.50,.51,.40,.49,.61,.35,.16,.44,.47,.21,.12,.22,.37,.39,.49,.50,.32,.27
1984,.28,.26,.34,.19,.41,-.05,.28,.32,.45,.19,.24,.33,.27,.26,.25,.31,.19,.29
1985,.36,.22,.34,.27,.20,.28,.15,.33,.22,.19,.08,.10,.23,.25,.30,.27,.26,.16
1986,.18,.42,.33,.29,.23,.10,.24,.27,.08,.21,.18,.21,.23,.22,.23,.28,.20,.16
1987,.40,.36,.37,.42,.28,.53,.55,.24,.32,.43,.49,.43,.40,.38,.32,.36,.44,.41
1988,.55,.43,.55,.41,.44,.39,.23,.51,.45,.51,.18,.13,.40,.42,.47,.47,.38,.38
1989,.15,.20,.25,.25,.12,.09,.35,.40,.44,.32,.27,.39,.27,.25,.16,.21,.28,.34
1990,.35,.32,.42,.41,.41,.31,.59,.28,.05,.41,.47,.43,.37,.37,.35,.41,.39,.31
1991,.25,.42,.25,.46,.35,.58,.51,.44,.51,.27,.27,.42,.39,.39,.37,.35,.51,.35
1992,.33,.32,.40,.39,.41,.47,.27,.23,.17,.29,.13,.21,.30,.32,.36,.40,.32,.20
1993,.29,.21,.33,.32,.25,.24,.37,.20,.30,.34,.29,.14,.27,.28,.24,.30,.27,.31
1994,.19,.10,.10,.33,.17,.45,.26,.12,.32,.29,.39,.40,.26,.24,.14,.20,.28,.33
1995,.28,.37,.35,.21,.16,.35,.54,.39,.25,.35,.31,.24,.32,.33,.35,.24,.42,.31
1996,.21,.38,.34,.46,.21,.26,.43,.76,.45,.35,.42,.39,.39,.38,.28,.34,.49,.40
1997,.25,.22,.29,.20,.29,.59,.28,.38,.54,.58,.70,.67,.42,.39,.29,.26,.42,.61
1998,.56,.72,.55,.41,.68,.79,.62,.59,.24,.32,.38,.37,.52,.54,.65,.55,.67,.32
1999,.37,.29,.36,.12,.19,.37,.41,.33,.36,.28,.21,.15,.29,.30,.34,.22,.37,.29
2000,.13,.23,.25,.25,.16,.34,.33,.37,.42,.27,.41,.30,.29,.28,.17,.22,.35,.37
2001,.35,.43,.35,.42,.47,.52,.55,.32,.47,.41,.48,.47,.44,.42,.36,.41,.46,.45
2002,.52,.43,.64,.66,.75,.38,.55,.51,.64,.56,.41,.45,.54,.54,.47,.68,.48,.54
2003,.57,.61,.52,.50,.51,.43,.49,.44,.48,.49,.41,.52,.50,.49,.55,.51,.45,.46
2004,.50,.53,.40,.53,.26,.42,.05,.40,.43,.52,.48,.57,.42,.42,.52,.40,.29,.48
2005,.55,.49,.55,.44,.49,.51,.49,.54,.53,.55,.42,.53,.51,.51,.54,.49,.52,.50
2006,.47,.50,.48,.37,.24,.50,.41,.73,.48,.43,.51,.43,.46,.47,.50,.36,.55,.48
2007,.56,.50,.48,.43,.64,.56,.53,.46,.53,.34,.34,.21,.47,.48,.50,.52,.52,.40
2008,.26,.17,.33,.41,.38,.37,.61,.36,.64,.46,.42,.43,.40,.39,.21,.37,.45,.51
2009,.47,.37,.48,.50,.65,.63,.74,.64,.61,.53,.76,.68,.59,.57,.42,.55,.67,.64
2010,.70,.74,.73,.56,.59,.52,.39,.46,.56,.51,.43,.39,.55,.57,.71,.63,.46,.50
2011,.42,.40,.40,.45,.38,.46,.68,.75,.42,.41,.51,.32,.47,.47,.40,.41,.63,.45
2012,.30,.39,.42,.35,.57,.37,.32,.52,.57,.67,.60,.60,.47,.45,.34,.45,.40,.61
2013,.56,.46,.53,.44,.46,.64,.53,.66,.83,.56,.56,.56,.56,.57,.54,.47,.61,.65
2014,.54,.39,.38,.53,.80,.53,.42,.71,.86,.67,.55,.49,.57,.58,.49,.57,.55,.69
2015,.52,.60,.59,.51,.54,.58,.59,.65,.54,.88,.76,.80,.63,.60,.54,.55,.61,.73
2016,.78,.79,.80,.75,.80,.52,.66,.91,.61,.72,.70,.68,.73,.74,.79,.78,.70,.68
2017,.66,.76,.79,.66,.87,.53,.69,.73,.58,.74,.53,.48,.67,.69,.70,.78,.65,.62
2018,.50,.45,.61,.81,.64,.69,.75,.67,.64,.77,.67,.73,.66,.64,.48,.69,.70,.70
2019,.66,.77,.80,.78,.74,.65,.84,.78,.62,.72,.83,***,***,.74,.72,.77,.76,.73
